"Rank","Name","Symbol","marketcap","price (USD)","country"
"1","Kweichow Moutai","600519.SS","240426319502","192.328","China"
"2","Anheuser-Busch Inbev","BUD","160475398144","83.08","Belgium"
"3","Heineken","HEIA.AS","49301194491","88.7392","Netherlands"
"4","Ambev","ABEV","48521777152","3.14","Brazil"
"5","Diageo","DEO","46878728192","84.33","United Kingdom"
"6","Wuliangye Yibin","000858.SZ","42745345023","11.0123","China"
"7","Constellation Brands","STZ","22559838208","132.08","United States"
"8","Carlsberg","CARL-B.CO","18937649046","143.28","Denmark"
"9","Luzhou Laojiao","000568.SZ","18527355687","12.5874","China"
"10","Pernod Ricard","RI.PA","18158343541","72.1106","France"
"11","Asahi Group","2502.T","14586506857","9.97118","Japan"
"12","Kirin Holdings","2503.T","14136258039","17.7071","Japan"
"13","Brown Forman","BF-A","12343448576","26.9","United States"
"14","Budweiser APAC","1876.HK","11288169774","0.85324","Hong Kong"
"15","Tsingtao","600600.SS","10802052387","7.91826","China"
"16","United Spirits","UNITDSPR.BO","10329816575","14.5479","India"
"17","China Resources Beer","0291.HK","9913175506","3.05585","Hong Kong"
"18","YANGHE","002304.SZ","8952440790","5.94276","China"
"19","Thai Beverage","Y92.SI","8865239482","0.352751","Thailand"
"20","Suntory","2587.T","8680488967","28.0922","Japan"
"21","Davide Campari-Milano","CPR.MI","7812096292","6.51667","Italy"
"22","Molson Coors","TAP","7697107968","41.04","United States"
"23","Radico Khaitan","RADICO.NS","5755484015","42.957","India"
"24","Beijing Yanjing Brewery","000729.SZ","5201547804","1.84548","China"
"25","Sapporo","2501.T","4668918742","11.9765","Japan"
"26","Endeavour Group","EDV.AX","4302233141","2.39582","Australia"
"27","Emperador Brandy","EMI.SI","4195144643","0.267471","Philippines"
"28","United Breweries","UBL.NS","3918837504","14.8213","India"
"29","Royal Unibrew","RBREW.CO","3506979635","73.5037","Denmark"
"30","Becle","CUERVO.MX","2984723326","0.831127","Mexico"
"31","Efes Beverage Group","AEFES.IS","2773508966","0.468415","Turkey"
"32","Rémy Cointreau","RCO.PA","2691283094","51.3933","France"
"33","Treasury Wine Estates","TWE.AX","2617061888","3.2412","Australia"
"34","Takara Holdings","2531.T","2529972215","13.2152","Japan"
"35","Sabeco Brewery (Saigon Beer)","SAB.VN","2287155088","1.78327","Vietnam"
"36","Compañía Cervecerías Unidas","CCU","2132805120","11.52","Chile"
"37","Boston Beer Company","SAM","1811105792","173.92","United States"
"38","Heineken Malaysia","3255.KL","1412156535","4.6745","Malaysia"
"39","Fever-Tree Drinks","FEVR.L","1280229361","11.3764","United Kingdom"
"40","Olvi plc","OLVAS.HE","775346057","37.5742","Finland"
"41","HiteJinro","000080.KS","712276274","10.2071","South Korea"
"42","Viña Concha y Toro","CONCHATORO.SN","671617279","0.908807","Chile"
"43","Oeneo","SBT.PA","639590768","10.2101","France"
"44","Laurent-Perrier","LPE.PA","546042954","92.9648","France"
"45","MGP Ingredients","MGPI","386819392","18.1","United States"
"46","TFF Group","TFF.PA","383782558","17.7021","France"
"47","Marie Brizard Wine &amp; Spirits","MBWS.PA","376885929","3.36912","France"
"48","Corby Spirit and Wine","CSW-A.TO","320215717","11.2479","Canada"
"49","Anora Group","ANORA.HE","282373547","4.17999","Finland"
"50","Andrew Peller","ADW-A.TO","248667474","5.66305","Canada"
"51","Delegat","DGL.NZ","244332714","2.41602","New Zealand"
"52","Italian Wine Brands","IWB.MI","193516825","20.7857","Italy"
"53","Hawesko","HAW.DE","186726747","20.7857","Germany"
"54","Brouwerij Handelsmaatschappij","COBH.BR","181589771","2421.2","Belgium"
"55","Masi Agricola","MASI.MI","161563603","5.02513","Italy"
"56","Kulmbacher Brauerei","KUL.MU","134307906","39.9726","Germany"
"57","Schloss Wachenheim","SWA.DE","125276385","15.8177","Germany"
"58","Ambra","AMB.WA","121565944","4.82277","Poland"
"59","maison pommery &amp; associes","POMRY.PA","110630446","12.4486","France"
"60","Chapel Down Group","CDGP.L","102157929","0.595589","United Kingdom"
"61","Naked Wines","WINE.L","63722960","0.963649","United Kingdom"
"62","Berentzen-Gruppe","BEZ.DE","34330531","3.65464","Germany"
